combo_id,name,items,promo_price,original_price
1,飯糰+飲料超值組,"1,48",59,67
2,鮪魚飯糰+豆漿,"2,50",55,62
3,梅子飯糰+綠茶,"3,52",49,53
4,三明治+咖啡組,"8,53",79,90
5,鮪魚蛋三明治+鮮乳,"9,48",75,84
6,千層豬排+拿鐵,"12,54",109,120
7,麵包早餐組,"14,47",55,60
8,巧克力可頌+拿鐵,"16,54",79,97
9,凱薩沙拉+雞胸,"17,43",129,138
10,蔬食沙拉+優酪乳,"19,49",75,85
11,茶葉蛋+豆漿,"22,50",39,45
12,蒸蛋+味噌湯,"21,31",49,60
13,雞肉拉麵+綠茶,"34,52",69,80
14,豚骨拉麵+蛋,"35,21",79,90
15,義大利麵+綠茶,"37,52",79,90
16,白醬麵+鮮乳,"38,48",95,104
17,雞腿飯+綠茶,"40,52",105,114
18,豬排飯+綠茶,"41,52",105,114
19,鮭魚飯+綠茶,"42,52",115,124
20,日式咖哩+蛋,"39,21",89,100
21,雞胸+毛豆,"43,24",95,104
22,涼麵+豆漿,"46,50",75,85
23,水果切盤+優格,"61,60",79,90
24,優格+香蕉,"60,66",45,53
25,熱狗堡+咖啡,"13,53",75,87
26,蛋餅+豆漿,"70,50",69,79
27,蛋餅+鮮乳,"70,48",75,84
28,捲餅+綠茶,"75,52",75,84
29,沙拉雙拼,"17,18",125,134
30,輕食組合,"43,19,52",129,149
