product_id,name,category,is_main,is_protein,price,calories,protein,fat,carb,sugar,sodium
1,日式鮭魚飯糰,飯糰,1,1,32,210,7.0,4.5,35.0,1.0,520
2,鮪魚美乃滋飯糰,飯糰,1,1,32,235,7.5,7.0,33.0,1.5,510
3,梅子飯糰,飯糰,1,0,28,195,4.0,1.5,40.0,2.5,480
4,昆布飯糰,飯糰,1,0,28,190,4.2,1.0,40.5,1.5,495
5,香酥雞肉飯糰,飯糰,1,1,38,265,9.5,8.5,36.0,1.5,560
6,肉鬆三角飯糰,飯糰,1,1,30,220,6.5,5.5,34.0,2.0,535
7,御飯糰雙拼,飯糰,1,1,45,310,10.5,8.0,46.0,2.0,640
8,火腿起司三明治,三明治,1,1,45,285,11.0,12.0,30.0,4.0,620
9,鮪魚蛋三明治,三明治,1,1,49,320,15.0,14.0,28.0,3.0,580
10,蔬菜三明治,三明治,1,0,45,235,7.0,9.0,30.0,5.0,490
11,雞肉三明治,三明治,1,1,55,295,18.0,9.0,32.0,4.5,610
12,千層豬排三明治,三明治,1,1,65,420,18.5,22.0,36.0,5.0,720
13,經典熱狗堡,麵包,1,1,42,360,11.0,18.0,38.0,6.0,780
14,起酥麵包,麵包,1,0,30,295,5.5,15.0,34.0,8.0,310
15,蔥麵包,麵包,1,0,28,265,6.0,9.0,38.0,5.0,395
16,巧克力可頌,麵包,1,0,42,330,5.5,18.0,36.0,12.0,255
17,雞肉凱薩沙拉,沙拉,0,1,69,180,18.0,9.0,9.0,3.5,550
18,鮪魚沙拉,沙拉,0,1,65,165,15.0,8.5,10.0,3.0,520
19,蔬食沙拉,沙拉,0,0,55,95,3.5,3.0,13.0,4.5,310
20,溫沙拉,沙拉,0,0,69,140,5.0,5.0,18.0,5.0,420
21,蒸蛋,小菜,0,1,25,90,7.0,5.5,2.0,0.5,360
22,茶葉蛋,小菜,0,1,15,75,7.0,5.0,1.5,0.3,330
23,溏心蛋,小菜,0,1,25,82,6.8,5.4,1.5,0.5,300
24,毛豆,小菜,0,1,35,135,12.0,5.0,9.0,2.0,210
25,涼拌豆腐,小菜,0,1,35,110,9.5,4.5,5.5,1.5,295
26,關東煮米血,關東煮,0,0,18,55,1.5,0.3,12.5,0.5,310
27,關東煮蘿蔔,關東煮,0,0,18,15,0.5,0.1,3.5,1.8,260
28,關東煮黑輪,關東煮,0,1,22,60,4.0,2.5,5.0,0.8,400
29,關東煮貢丸,關東煮,0,1,20,75,4.5,5.0,2.5,0.5,360
30,關東煮甜不辣,關東煮,0,1,20,80,4.5,3.0,9.0,1.2,380
31,味噌湯,湯品,0,0,35,55,3.0,1.5,7.0,1.0,720
32,玉米濃湯,湯品,0,0,40,95,2.5,2.5,16.0,4.5,580
33,蔬菜湯,湯品,0,0,40,45,2.0,1.0,7.0,3.0,510
34,雞絲拉麵,即食麵,1,1,55,365,13.0,10.0,55.0,3.5,1180
35,豚骨拉麵,即食麵,1,1,65,420,15.0,15.0,52.0,4.0,1320
36,炒泡麵,即食麵,1,0,49,395,8.5,16.0,52.0,5.0,1410
37,義大利肉醬麵,微波餐,1,1,65,440,18.0,14.0,58.0,9.0,720
38,白醬雞肉麵,微波餐,1,1,69,480,20.0,18.0,55.0,6.0,810
39,日式咖哩飯,微波餐,1,1,75,535,16.0,18.0,72.0,11.0,920
40,雞腿飯,微波餐,1,1,89,575,28.0,18.0,68.0,3.5,860
41,豬排飯,微波餐,1,1,89,640,25.0,28.0,72.0,4.0,920
42,鮭魚飯,微波餐,1,1,99,520,30.0,16.0,60.0,3.5,780
43,蒸雞胸肉,輕食,0,1,69,150,28.0,3.5,2.0,0.8,420
44,水煮雞胸肉,輕食,0,1,75,135,27.0,2.0,1.5,0.5,380
45,鹽味毛豆夾,小菜,0,1,29,110,10.5,4.0,8.0,1.5,260
46,涼麵,即食麵,1,1,55,425,11.0,10.0,72.0,8.0,790
47,巧克力牛奶,飲料,0,0,30,165,6.0,5.5,22.0,21.0,95
48,鮮乳,飲料,0,1,35,135,7.0,7.5,9.5,9.0,90
49,優酪乳,飲料,0,1,30,155,5.5,3.0,26.0,22.0,75
50,豆漿,飲料,0,1,30,125,8.0,3.0,15.0,8.0,55
51,無糖豆漿,飲料,0,1,30,75,7.5,2.5,3.5,0.5,45
52,綠茶,飲料,0,0,25,0,0.0,0.0,0.0,0.0,15
53,黑咖啡,飲料,0,0,45,5,0.5,0.0,1.0,0.0,5
54,拿鐵咖啡,飲料,0,0,55,135,6.0,7.0,12.0,11.0,100
55,運動飲料,飲料,0,0,25,90,0.0,0.0,22.0,20.0,170
56,氣泡水,飲料,0,0,30,0,0.0,0.0,0.0,0.0,5
57,鮮榨柳橙汁,飲料,0,0,55,115,1.5,0.5,27.0,24.0,15
58,蘋果汁,飲料,0,0,50,125,0.3,0.2,30.0,28.0,10
59,堅果包,點心,0,0,45,310,9.0,24.0,12.0,3.0,150
60,優格,點心,0,1,35,125,5.0,4.0,16.0,14.0,60
61,水果切盤,點心,0,0,55,95,1.0,0.4,23.0,18.0,15
62,蘇打餅乾,點心,0,0,29,155,3.0,5.5,23.0,3.0,260
63,巧克力棒,點心,0,0,35,235,3.0,12.0,28.0,21.0,55
64,洋芋片,點心,0,0,35,290,3.0,18.0,28.0,1.5,360
65,蒟蒻條,點心,0,0,25,55,0.5,0.0,13.0,11.0,30
66,香蕉,點心,0,0,18,90,1.2,0.3,23.0,15.0,1
67,茶葉蛋雙入,小菜,0,1,28,150,14.0,10.0,3.0,0.6,640
68,雞胸沙拉飯糰,飯糰,1,1,45,260,15.0,5.0,38.0,1.5,550
69,起司條,點心,0,1,35,180,9.0,14.0,2.5,0.5,420
70,日式蛋餅,熱食,1,1,49,310,9.0,16.0,30.0,3.5,560
71,蔥抓餅,熱食,1,0,45,340,7.0,18.0,38.0,3.0,640
72,香腸,熱食,0,1,30,205,8.0,18.0,2.5,1.0,580
73,玉米筍沙拉,沙拉,0,0,49,75,3.0,2.0,11.0,4.0,280
74,鮪魚玉米沙拉,沙拉,0,1,69,195,16.0,9.0,12.0,5.0,490
75,雞肉捲餅,熱食,1,1,59,340,17.0,12.0,38.0,3.5,710
