product_id,cmno,name,category_id,category,is_main,is_protein,price,calories,protein,fat,carb,sugar,sodium,n_servings,price_source
1,0558422,鹽蔥燒肉飯糰,1,壽司手卷飯糰,1,1,49,174.0,5.7,3.2,30.8,0.0,349.0,1,tier
2,0612008,鮪魚飯糰,1,壽司手卷飯糰,1,1,49,188.0,5.0,4.3,32.0,0.8,195.0,1,tier
3,0615010,雞肉飯飯糰,1,壽司手卷飯糰,1,1,49,181.0,5.1,3.5,32.3,1.1,294.0,1,tier
4,0775379,壹號醬炙烤牛飯糰,1,壽司手卷飯糰,1,1,59,191.0,4.7,2.8,36.5,3.8,396.0,1,tier
5,0843029,麻油雞飯糰,1,壽司手卷飯糰,1,1,69,319.0,9.9,11.2,44.7,1.4,829.0,1,tier
6,0909839,碳烤燒肉飯飯糰,1,壽司手卷飯糰,1,1,49,184.0,5.8,2.9,33.6,2.2,338.0,1,tier
7,0943518,大口蒜味香腸燒肉雙拼飯糰,1,壽司手卷飯糰,1,1,79,392.0,12.7,10.5,61.9,3.3,1023.0,1,tier
8,0954525,淡麗清酒蒸蛤蜊烤飯糰,1,壽司手卷飯糰,1,0,69,177.0,5.3,2.6,33.0,0.0,349.0,1,tier
9,0984449,大口義式香草雞腿排飯糰,1,壽司手卷飯糰,1,1,79,356.0,15.8,12.4,45.6,1.5,818.0,1,tier
10,1080915,芝麻香鬆飯糰(植覺生活),1,壽司手卷飯糰,1,0,49,229.0,5.6,6.0,38.1,9.0,211.0,1,tier
11,1108529,明太子龍蝦風味沙拉飯糰,1,壽司手卷飯糰,1,1,49,185.0,4.3,4.2,32.3,0.9,329.0,1,tier
12,1123941,贅澤鮭魚肚飯糰,1,壽司手卷飯糰,1,1,69,173.0,6.3,3.3,29.5,0.0,277.0,1,tier
13,1166915,大口日式塔塔醬蝦排飯糰,1,壽司手卷飯糰,1,1,79,417.0,10.5,20.1,48.7,4.9,551.0,1,tier
14,1169404,糖燻野郎起司炙燒牛烤飯糰,1,壽司手卷飯糰,1,1,69,222.0,6.1,5.1,37.9,4.3,353.0,1,tier
15,1179792,蔬食鮪魚飯糰(植覺生活),1,壽司手卷飯糰,1,1,49,186.0,4.5,3.8,33.4,1.7,370.0,1,tier
16,1179829,大口歐風焙煎咖哩漢堡排飯糰,1,壽司手卷飯糰,1,1,79,378.0,13.4,14.8,48.1,3.2,638.0,1,tier
17,1194887,熟成紅鮭飯糰,1,壽司手卷飯糰,1,1,69,164.0,5.6,2.1,30.5,0.0,442.0,1,tier
18,1195097,北海道秋鮭親子飯糰,1,壽司手卷飯糰,1,1,69,186.0,5.6,4.7,30.4,0.0,268.0,1,tier
19,1197299,三杯醬爆菇菇飯糰(植覺生活),1,壽司手卷飯糰,1,0,49,162.0,4.2,1.8,32.2,1.0,326.0,1,tier
20,1234683,經典肉鬆飯糰,1,壽司手卷飯糰,1,1,49,223.0,6.4,5.3,37.2,2.3,254.0,1,tier
21,1235889,大飯糰韓式蒜烤豬五花,1,壽司手卷飯糰,1,1,40,222.0,5.3,4.3,40.7,1.0,303.0,1,curated
22,1269470,兩粒飯糰(鮪魚、焦糖鮭魚),1,壽司手卷飯糰,1,1,69,346.0,6.9,7.9,61.8,1.3,636.0,1,tier
23,1317744,大口起司熔岩白醬炸魚飯糰,1,壽司手卷飯糰,1,1,79,404.0,12.3,15.3,54.1,1.9,599.0,1,tier
24,1330605,鮭魚奶油醬油飯糰,1,壽司手卷飯糰,1,1,49,172.0,4.5,1.9,34.2,0.6,274.0,1,tier
25,1395639,煙燻培根飯糰,1,壽司手卷飯糰,1,0,49,159.0,4.2,2.2,30.7,0.6,231.0,1,tier
26,1406585,鮮蝦旬彩炊飯飯糰,1,壽司手卷飯糰,1,1,40,157.0,4.1,1.1,32.9,3.3,436.0,1,curated
27,1416946,溏心蛋五目飯糰,1,壽司手卷飯糰,1,1,59,164.0,2.9,2.4,32.8,0.7,501.0,1,tier
28,1417706,鹽蔥生鮭飯糰,1,壽司手卷飯糰,1,1,69,155.0,5.1,1.9,29.4,0.0,303.0,1,tier
29,1417710,鹽水G絲飯糰,1,壽司手卷飯糰,1,0,49,164.0,4.7,2.1,31.5,0.0,283.0,1,tier
30,1417724,山葵章魚飯糰,1,壽司手卷飯糰,1,1,69,152.0,4.4,0.7,32.0,0.0,243.0,1,tier
31,1417738,柚檸海灣貝飯糰,1,壽司手卷飯糰,1,0,69,144.0,4.2,0.5,30.7,0.8,273.0,1,tier
32,1452463,一配椒鹽檸檬鯖魚飯糰,1,壽司手卷飯糰,1,1,59,156.0,5.4,1.3,30.6,4.2,352.0,1,tier
33,1452477,黑胡椒洋蔥豬飯糰,1,壽司手卷飯糰,1,1,49,167.0,4.3,1.2,34.8,1.3,366.0,1,tier
34,1172495,正男醬香烤飯糰(2入),15,冷凍食品,1,0,130,340.0,7.0,2.2,73.0,3.4,284.0,2,curated
35,1172504,小白起司烤飯糰(2入),15,冷凍食品,1,1,130,380.0,10.0,5.8,72.4,4.4,472.0,2,curated
36,1275819,香腸腿排雙拼便當,2,主餐麵食,1,1,99,652.0,24.3,21.7,89.8,7.6,974.0,1,tier
37,1452772,懷舊滷雙拼便當,2,主餐麵食,1,1,109,676.0,38.1,14.8,97.2,9.4,1196.0,1,tier
38,0226225,香辣醬香腸蛋炒飯,2,主餐麵食,1,1,109,815.0,18.6,36.3,103.7,2.2,1310.0,1,tier
39,1324402,鮭魚蛋炒飯,2,主餐麵食,1,1,109,688.0,20.6,22.4,100.7,0.0,1372.0,1,tier
40,2410549,輕鬆生活鮭魚炒飯,15,冷凍食品,1,1,65,556.0,15.7,15.7,87.7,2.2,660.0,1,curated
41,2410553,輕鬆生活蝦仁炒飯,15,冷凍食品,1,1,65,547.0,13.5,18.2,82.2,3.6,762.0,1,curated
42,2410694,輕鬆生活素三杯炒飯,15,冷凍食品,1,1,65,620.0,16.8,19.1,95.2,1.1,1012.0,1,curated
43,2410721,薑黃素炒飯,15,冷凍食品,1,1,65,575.0,12.4,17.0,93.2,10.7,965.0,1,curated
44,2411327,紅藜蔬食炒飯,15,冷凍食品,1,1,65,515.0,13.7,17.2,76.4,5.0,1111.0,1,curated
45,0910569,川味麻婆燒豆腐燴飯,2,主餐麵食,1,1,99,684.0,26.5,19.8,99.2,0.0,1592.0,1,tier
46,1167775,港式香滑嫩蛋牛肉燴飯,2,主餐麵食,1,1,99,521.0,20.4,5.2,97.6,0.0,1332.0,1,tier
47,1429632,蔥爆牛肉燴飯,2,主餐麵食,1,1,109,617.0,22.8,14.5,98.9,5.0,1254.0,1,tier
48,0791147,火腿起司蛋三明治,3,三明治漢堡,1,1,49,202.0,6.2,10.4,21.1,4.1,358.0,1,tier
49,1088763,香鬆起司蛋三明治(植覺生活),3,三明治漢堡,1,1,49,201.0,6.1,9.9,22.1,6.5,316.0,1,tier
50,1166892,紐奧良風味烤雞鮮蔬三明治,3,三明治漢堡,1,1,69,205.0,14.0,7.5,20.5,5.0,626.0,1,tier
51,1231249,經典火腿玉米蛋三明治,3,三明治漢堡,1,1,59,168.0,8.6,8.8,13.5,1.3,388.0,1,tier
52,1234506,雞蛋沙拉三明治,3,三明治漢堡,1,1,59,204.0,7.1,10.2,20.8,2.4,426.0,1,tier
53,1284747,好多菜三明治(植覺生活),3,三明治漢堡,1,0,59,161.0,4.5,7.7,18.6,4.1,203.0,1,tier
54,1319746,藍莓優格三明治,3,三明治漢堡,1,1,49,151.0,4.5,4.4,23.4,7.0,203.0,1,tier
55,1397659,香蕉可可三明治,3,三明治漢堡,1,0,59,193.0,4.2,7.7,26.8,7.0,201.0,1,tier
56,1444090,肉鬆火腿三明治,3,三明治漢堡,1,1,49,218.0,6.4,10.7,24.2,5.4,389.0,1,tier
57,1444109,醬燒烤雞三明治,3,三明治漢堡,1,1,59,199.0,10.4,8.0,21.2,1.8,553.0,1,tier
58,1444222,好多蛋三明治,3,三明治漢堡,1,1,69,294.0,10.9,15.4,27.9,3.6,592.0,1,tier
59,1444240,經典總匯三明治,3,三明治漢堡,1,0,59,209.0,8.6,9.3,22.7,3.1,499.0,1,tier
60,1444254,鮪魚起司溏心蛋三明治,3,三明治漢堡,1,1,59,240.0,9.9,12.3,22.4,4.6,450.0,1,tier
61,1452481,榛果摩卡脆脆三明治,3,三明治漢堡,1,0,45,170.0,4.1,6.8,23.2,7.1,199.0,1,curated
62,1454647,茄汁厚起司三明治,3,三明治漢堡,1,1,59,257.0,10.8,11.2,28.4,4.9,446.0,1,tier
63,0894707,三明治造型魚板,12,現煮鍋物,1,1,20,89.0,3.7,5.1,7.1,2.6,239.0,1,curated
64,0472163,日清草莓三明治餅乾,18,點心零食,1,0,256,680.0,9.6,33.6,85.6,30.4,696.0,8,curated
65,1123478,OREO三明治餅乾牛奶巧克力,18,點心零食,1,1,160,475.0,5.0,25.0,58.0,46.0,185.0,5,curated
66,3910320,日清奶油三明治,18,點心零食,1,0,256,599.2,8.0,28.0,80.0,24.0,640.0,8,curated
67,3910443,日清巧克力三明治餅乾,18,點心零食,1,1,256,656.0,10.4,34.4,78.4,24.8,584.0,8,curated
68,0754929,三明治火腿-添加DHA藻油,19,加工食品,1,1,180,260.0,18.4,11.6,20.4,3.2,1192.0,4,curated
69,1331415,日式漢堡排,5,小菜、滷味、湯品,1,1,45,248.0,13.8,18.1,7.5,5.3,376.0,1,curated
70,1338221,呦皮漢堡QQ糖,18,點心零食,1,0,50,94.0,1.4,0.0,22.2,14.6,10.6,2,curated
71,1429955,蔬菜烘蛋起司貝果堡,3,三明治漢堡,1,1,69,363.0,15.3,13.8,44.4,6.0,694.5,1,tier
72,1395261,蜂蜜海鹽乳酪抹茶貝果,7,麵包,1,1,59,232.0,8.2,5.0,38.7,6.7,338.0,1,tier
73,1406549,藍莓乳酪貝果,7,麵包,1,1,59,234.0,8.6,3.9,40.9,9.0,306.0,1,tier
74,1406553,莫札瑞拉起司火腿貝果,7,麵包,1,1,59,252.0,17.9,5.4,32.9,5.5,399.0,1,tier
75,1277998,貝果脆片-奶油蒜香風味,18,點心零食,1,0,32,103.4,3.9,3.0,16.7,0.2,117.0,1,curated
76,1278003,貝果脆片-義式披薩風味,18,點心零食,1,0,32,99.0,3.8,2.2,17.3,1.3,174.0,1,curated
77,1438992,貝果脆片—法式黑松露風味,18,點心零食,1,0,32,162.9,5.0,6.9,22.1,0.7,161.0,1,curated
78,0208023,黃金奶油鹽可頌,7,麵包,1,0,49,267.0,7.3,11.5,33.6,4.2,504.0,1,tier
79,1316493,巧克力麻糬QQ可頌,7,麵包,1,0,59,360.0,6.2,18.5,42.2,19.9,338.0,1,tier
80,1387739,香醇蜂蜜小可頌,7,麵包,1,0,59,217.0,3.9,12.3,22.6,6.7,199.0,1,tier
