name,tier_price
</div,49
一配爆炒雞丁飯,109
三杯醬爆菇菇飯糰,49
丹麥菠蘿可頌,49
五香海苔高纖脆燕麥棒,49
伯爵奶茶纖脆燕麥棒,49
健身G肉餐盒,109
克林姆麵包,49
兩粒飯糰（鮪魚﹒焦糖鮭魚）,69
加工貨架商品,49
北海道秋鮭親子飯糰,69
千層餅,59
卡士達菠蘿泡芙,49
厚豆腐蛋白蕈菇豬肉堡,69
厚香料優格咖哩烤雞飯卷,69
厚香料優格咖哩雞排飯,109
叉燒包2.0,49
古早味甜甜圈,49
台式麻醬涼麵,69
和風涓絲冷麵,69
哞哞培根奶香海陸焗飯,99
嘉義劉里長雞肉飯,99
嘉義崇文白醋涼麵,79
塔香雞肉包,49
墨西哥葡萄奶酥麵包,49
壹號醬壽喜燒牛丼,109
壹號醬炙烤牛飯糰,59
壹號醬雞豚雙拼,109
大口日式塔塔醬蝦排飯糰,79
大口歐風焙煎咖哩漢堡排飯糰,79
大口法式蕈菇起司雞排飯糰,79
大口義式香草雞腿排飯糰,79
大口蒜味香腸燒肉雙拼飯糰,79
大口起司熔岩白醬炸魚飯糰,79
大納言紅豆鬆餅,49
大飯糰乾燒風味鮮蝦,59
大高麗菜包（全素）,49
大鮮筍包2.0,49
大鮮肉包2.0,49
夯番薯,49
夯番麥2.0-30元,49
夯番麥特價25元,49
失控起司薯餅焗飯,109
奶油培根義大利麵,99
奶油鮮蝦明太子細扁麵,109
奶酥小菠蘿,59
奶酥麵包,49
好吃雞肉便當,99
好多菜三明治,59
好多蒜燒豚飯,99
好多蛋三明治,69
孜香雞肉包,49
小菠蘿麵包,49
小麥胚芽土司,49
山葵生鮪魚泥脆卷,59
山葵章魚飯糰,69
川味麻婆燒豆腐燴飯,99
巧克力派司,49
巧克力菠蘿,49
巧克力麻糬ＱＱ可頌,59
府城鹽水意麵,99
慢燉滷肉油蔥粄條,99
懷舊滷雙拼便當,109
手工拔絲麵包,59
打拋風味豬肉飯,99
抹茶菠蘿,59
招牌腿排便當(區),99
招牌雞絲胡麻涼麵,99
整條德式香腸義大利麵,109
日式炙烤親子丼,109
日式胡麻雞絲冷麵,99
明太子生鮭飯糰(區),59
明太子龍蝦風味沙拉飯糰,49
春日抹茶夾心土司,49
板巧克力夾心土司,49
柚檸海灣貝飯糰,69
椒鹽檸檬鯖魚飯糰,59
椰香葡萄麵包,49
楓糖波浪丹麥小土司,59
極濃抹茶鬆餅,59
榛果可可爆餡餐包,59
檸檬燕麥豆漿餐包,59
每日滿足草莓白巧穀物棒,59
每日滿足莓果優格穀物棒,59
每日滿足藍莓可可蛋白穀物棒,59
毛豆黑胡椒乳酪軟法,59
沙茶豬肉炒麵,99
法式巧克力燕麥脆米花,49
法式芥末籽脆腸軟法,59
泰式綠咖哩雞,99
海苔肉鬆沙拉麵包,49
海陸雙拼壽司,79
海陸雙拼肉肉餐盒,109
海鹽厚巧克力纖脆燕麥棒,49
海鹽奶油羅宋,49
淡麗清酒蒸蛤蜊烤飯糰,69
港式香滑嫩蛋牛肉燴飯,99
溏心蛋五目飯糰,59
滿滿果乾切片軟歐,59
滿滿高麗菜豆芽鐵板麵,109
濃可可紅寶石切片軟歐,59
濃起司燻腸紅醬焗烤飯,99
火腿起司蛋三明治,49
炸醬炒泡麵,99
烤蛋白餐盒,109
焗烤起司肉醬筆尖麵,99
焗烤起司雙饗筆尖麵,99
焙煎小麥鹽可頌,49
煙燻培根飯糰（區）,49
熟成紅鮭飯糰,69
牛角麵包,59
玄米抹茶纖脆燕麥棒,49
生土司,49
生果粒草莓滿餡麵包,59
生榛果濃可可滿餡麵包,59
生白桃紅烏龍滿餡,59
生香濃花生滿餡麵包,59
生鮮水果,49
番茄羅勒起司燕麥棒,49
番薯（３０元）,49
番薯（３５元）,49
番薯（５０元）,69
瘋狂起司三明治,59
白酒清炒鮮蛤義大利麵,109
皮蛋辣拌麵,99
碳烤燒肉飯飯糰（區）,49
糖燻野郎三十天熟成牛飯,109
糖燻野郎起司炙燒牛烤飯糰,69
紅豆燕麥麵包,59
紅豆麵包,49
紅豆ｍｉｎｉ銅鑼燒,59
紐奧良風味烤雞鮮蔬三明治,69
經典人氣雙手卷,69
經典巧克力Ｑ堤,59
經典滷肉飯,99
經典火腿玉米蛋三明治,59
經典總匯三明治,59
經典肉鬆飯糰,49
經典虎皮蛋糕,59
經典蜂蜜蛋糕,49
經典蜂蜜鬆餅,49
經典雙牛起司堡,69
維也納奶油軟法,49
維也納奶油餐包,59
綿乳杯子蛋糕,59
綿柔鮮奶土司,49
綿濃巧克力夾心蛋糕,49
綿莓莓夾心蛋糕,59
綿蜜雪花蛋糕,49
美味蟹煲,109
美式雞丁餐盒,109
美式雞腿堡,79
義式蕃茄起司義大利麵,99
義式辣味嫩烤雞排義大利麵,109
肉鬆火腿三明治,49
肉鬆火腿細卷,49
胡椒鹹蛋黃高纖脆燕麥棒,49
芋泥金沙麻吉麵包,59
芋香酥餅,49
芝麻香鬆飯糰,49
花生夾心土司,49
茄汁薯餅蛋堡,69
草莓夾心土司,49
草莓果醬麵包,49
草莓甜心Ｑ堤,59
荔枝莓果鬆餅,59
莎莎烤雞麵沙拉,99
莓果乳酪軟歐,59
莫札瑞拉起司火腿貝果,59
菠蘿奶酥麵包,49
菠蘿蛋塔麵包,59
菠蘿麵包,49
葡式千層蛋塔,59
蒜香奶油蝦蝦義大利麵,109
蒸包區,49
蒸金黃甜玉米,69
蒸雙色玉米,69
蔥爆牛肉燴飯,109
蔥蔥玉子拌麵,109
蔥鹽雞肉麵沙拉,99
蔬菜烘蛋起司貝果堡,69
蔬食鮪魚飯糰,49
蕃薯（４０元）,59
蕃薯（４５元）,59
蕃薯（５５元）,69
蕃薯（６０元）,79
蕃薯（６５元）,79
藍莓乳酪貝果,59
藍莓乳酪軟歐,59
藍莓優格三明治,49
藍莓可可小土司,59
藍莓夾心土司,49
蘑菇造型ＱＱ球,59
蘿蔔絲酥餅,49
虎皮天使蛋糕,59
蜂蜜海鹽乳酪抹茶貝果,59
蜜桃颶風蛋糕,59
豐果長纖全麥土司,59
豬肉起司堡,49
豬肉起司蛋堡,59
贅澤鮭魚肚飯糰,69
起司披薩包2.0,49
起司控培根白醬焗烤飯,109
起司核桃軟歐,59
起司火腿麵包,49
起酥肉鬆麵包,49
起酥葡萄奶酥,49
起酥蛋糕,49
醇可可生土司,49
醇濃黑巧鬆餅,49
醇黑可可好棒棒,49
醇黑可可菠蘿奶酥,59
醬油生鮭脆卷,59
醬燒烤雞三明治,59
里肌豬排可可咖哩歐姆蛋飯,109
金咖哩果香甘口咖哩飯,99
金咖哩濃厚辛辣咖哩飯,99
鐵板滑蛋炸豬排丼,109
鐵板牛套餐包手卷,79
鐵板豆腐燴蛋蓋飯,99
鐵道滷排便當,109
長野稻荷壽司,59
陽光地瓜總匯三明治,59
陽光葡萄土司,49
雙目糖蜂蜜蛋糕,59
雙重芝士條,49
雞肉飯飯糰,49
雞蛋沙拉三明治,59
雞蛋牛奶手排包,49
青花椒麻雞肉拌麵,99
青蔥燒餅,49
青醬蛤蜊義大利麵,99
青麻椒香雞肉包,49
韓國麵包三兄弟,49
韓式泡菜豬肉豆腐丼飯,99
韓式燒肉拌飯,109
韓式辣炒豬肉飯卷,69
韓式黑嚕嚕炸醬麵,99
香拌海鮮醬肉絲蛋炒飯,109
香濃牛奶好棒棒,49
香烤魚排青醬燉飯,109
香煎魚排佐檸檬奶油義大利麵,109
香腸腿排雙拼便當,99
香蒜起司麵包,49
香蕉可可三明治,59
香蕉２入包,49
香辣醬蒜味香腸蛋炒飯,109
香醇蜂蜜小可頌,59
香雞蛋堡,59
香鬆起司蛋三明治,49
馥郁葡萄小土司,49
高地山採蕉２入包,49
魔王愛吃辣雞堡,79
鮪魚昆布細卷,49
鮪魚起司溏心蛋三明治,59
鮪魚飯糰,49
鮭魚奶油醬油飯糰,49
鮭魚蛋炒飯,109
鮭鮪海饌雙手卷,69
鮮食商品,69
鹹奶油菠蘿小土司,49
鹽水Ｇ絲飯糰,49
鹽蔥燒肉飯糰,49
鹽蔥生鮭飯糰,69
鹽麴蔥花麵包,49
麻吉甜甜圈,59
麻油雞飯糰,69
黃金地瓜菜菜捲,79
黃金奶油鹽可頌,49
黃金雞排蘑菇白醬歐姆蛋飯,109
黃金魚堡,69
黑咖哩牛肉麵包,59
黑松露野菇義大利麵,99
黑胡椒洋蔥豬飯糰,49
黑胡椒豬肉鐵板炒麵麵包,79
黑醋栗蔓越莓燕麥脆米花,49
