solver,instance,feasible,obj,cost,cal,pro,fat,carb,sug,sod,n,items,combos,runtime,gap,cal_min,pro_min
MILP,rand_30p_8c_s1,1,97.0793,113.1,738.2,46.7,24.1,68.5,7.2,277.0,3,4|15|20,7,0.008,0.0,635.3,44.8
GRASP,rand_30p_8c_s1,1,97.0793,113.1,738.2,46.7,24.1,68.5,7.2,277.0,3,4|15|20,7,0.0243,0.0,635.3,44.8
Greedy,rand_30p_8c_s1,0,inf,115.2,311.7,80.5,37.2,72.2,9.8,2977.0,4,3|22|24|30,,0.0003,0.0,635.3,44.8
MILP,rand_30p_8c_s2,1,166.9146,91.4,742.9,30.0,24.1,79.0,2.5,817.0,3,14|17|23,,0.005,0.0,635.3,44.8
GRASP,rand_30p_8c_s2,1,187.6793,114.7,679.7,35.5,31.0,61.6,5.5,764.0,2,18|23,,0.0115,0.0,635.3,44.8
Greedy,rand_30p_8c_s2,0,inf,104.5,759.0,49.8,22.9,89.7,5.5,1888.0,3,14|23|27,,0.0003,0.0,635.3,44.8
MILP,rand_30p_8c_s3,1,115.0102,110.1,696.1,45.7,12.0,60.0,9.9,738.0,2,5|13,,0.006,0.0,635.3,44.8
GRASP,rand_30p_8c_s3,1,115.0102,110.1,696.1,45.7,12.0,60.0,9.9,738.0,2,5|13,,0.0191,0.0,635.3,44.8
Greedy,rand_30p_8c_s3,0,inf,110.5,804.9,52.7,42.1,54.4,4.4,2411.0,3,5|10|19,,0.0003,0.0,635.3,44.8
MILP,rand_30p_8c_s4,1,114.7956,113.2,753.4,44.9,6.8,76.1,7.0,890.0,2,26|27,7,0.006,0.0,635.3,44.8
GRASP,rand_30p_8c_s4,1,114.7956,113.2,753.4,44.9,6.8,76.1,7.0,890.0,2,26|27,7,0.0143,0.0,635.3,44.8
Greedy,rand_30p_8c_s4,0,inf,105.2,435.6,66.3,23.0,111.7,11.6,3134.0,4,11|12|17|27,,0.0003,0.0,635.3,44.8
MILP,rand_30p_8c_s5,1,223.6256,95.8,652.1,32.8,15.5,78.0,5.0,1397.0,2,5|14,,0.003,0.0,635.3,44.8
GRASP,rand_30p_8c_s5,0,,,,,,,,,,,,,,635.26875,44.800000000000004
Greedy,rand_30p_8c_s5,0,inf,108.9,868.5,50.0,34.7,63.0,12.6,3187.0,3,1|6|14,,0.0003,0.0,635.3,44.8
MILP,rand_50p_15c_s1,1,55.0147,69.4,712.6,46.2,23.3,65.4,4.8,113.0,2,20|36,,0.013,0.0,635.3,44.8
GRASP,rand_50p_15c_s1,1,55.0147,69.4,712.6,46.2,23.3,65.4,4.8,113.0,2,20|36,,0.0726,0.0,635.3,44.8
Greedy,rand_50p_15c_s1,1,156.2346,115.5,720.1,90.5,43.1,95.3,9.7,1142.0,4,3|22|36|45,,0.0003,0.0,635.3,44.8
MILP,rand_50p_15c_s2,1,110.9556,81.8,654.4,41.1,15.3,94.9,8.8,1096.0,3,20|23|41,,0.007,0.0,635.3,44.8
GRASP,rand_50p_15c_s2,1,130.79,100.1,762.6,48.3,19.4,93.9,3.4,1326.0,3,14|17|41,,0.0673,0.0,635.3,44.8
Greedy,rand_50p_15c_s2,0,inf,107.6,898.4,67.5,28.8,59.7,8.4,2564.0,4,23|27|38|41,,0.0006,0.0,635.3,44.8
MILP,rand_50p_15c_s3,1,115.0102,110.1,696.1,45.7,12.0,60.0,9.9,738.0,2,5|13,,0.017,0.0,635.3,44.8
GRASP,rand_50p_15c_s3,1,115.0102,110.1,696.1,45.7,12.0,60.0,9.9,738.0,2,5|13,,0.0325,0.0,635.3,44.8
Greedy,rand_50p_15c_s3,0,inf,110.0,760.8,59.7,34.5,62.6,6.3,2376.0,3,5|19|42,,0.0006,0.0,635.3,44.8
MILP,rand_50p_15c_s4,1,78.7975,102.7,722.8,51.2,19.9,90.2,21.6,507.0,3,7|20|43,,0.014,0.0,635.3,44.8
GRASP,rand_50p_15c_s4,1,78.7975,102.7,722.8,51.2,19.9,90.2,21.6,507.0,3,7|20|43,,0.0591,0.0,635.3,44.8
Greedy,rand_50p_15c_s4,0,inf,104.9,463.0,70.4,36.1,92.3,9.3,3328.0,4,11|12|17|47,,0.0006,0.0,635.3,44.8
MILP,rand_50p_15c_s5,1,197.1102,115.5,642.2,33.9,9.0,60.6,5.3,699.0,2,3|37,,0.064,0.0,635.3,44.8
GRASP,rand_50p_15c_s5,0,,,,,,,,,,,,,,635.26875,44.800000000000004
Greedy,rand_50p_15c_s5,0,inf,114.8,638.2,57.5,30.0,71.1,12.1,2273.0,3,14|31|37,,0.0006,0.0,635.3,44.8
MILP,rand_80p_25c_s1,1,55.0147,69.4,712.6,46.2,23.3,65.4,4.8,113.0,2,20|36,,0.017,0.0,635.3,44.8
GRASP,rand_80p_25c_s1,1,55.0147,69.4,712.6,46.2,23.3,65.4,4.8,113.0,2,20|36,,0.1399,0.0,635.3,44.8
Greedy,rand_80p_25c_s1,0,inf,112.5,389.4,91.6,34.8,46.6,6.6,1070.0,4,3|22|45|52,,0.0013,0.0,635.3,44.8
MILP,rand_80p_25c_s2,1,76.53,89.0,742.3,48.7,19.1,93.4,8.1,1039.0,3,20|41|60,,0.017,0.0,635.3,44.8
GRASP,rand_80p_25c_s2,1,76.53,89.0,742.3,48.7,19.1,93.4,8.1,1039.0,3,20|41|60,,0.1282,0.0,635.3,44.8
Greedy,rand_80p_25c_s2,0,inf,116.1,796.3,67.8,29.0,35.7,4.7,2125.0,4,3|38|41|60,,0.0012,0.0,635.3,44.8
MILP,rand_80p_25c_s3,1,95.6146,96.2,687.3,44.2,29.5,98.2,11.5,925.0,3,29|42|76,,0.041,0.0,635.3,44.8
GRASP,rand_80p_25c_s3,1,95.6146,96.2,687.3,44.2,29.5,98.2,11.5,925.0,3,29|42|76,,0.0642,0.0,635.3,44.8
Greedy,rand_80p_25c_s3,0,inf,111.6,819.3,67.4,30.4,126.5,17.1,3070.0,3,19|56|77,,0.0012,0.0,635.3,44.8
MILP,rand_80p_25c_s4,1,55.73,69.1,702.3,52.6,20.5,83.4,8.4,1046.0,2,43|64,,0.008,0.0,635.3,44.8
GRASP,rand_80p_25c_s4,1,55.73,69.1,702.3,52.6,20.5,83.4,8.4,1046.0,2,43|64,,0.0865,0.0,635.3,44.8
Greedy,rand_80p_25c_s4,0,inf,118.5,919.6,93.1,43.5,167.4,19.6,1653.0,4,12|63|64|73,,0.0014,0.0,635.3,44.8
MILP,rand_80p_25c_s5,1,88.7756,63.3,636.8,44.0,4.7,75.0,1.7,1056.0,2,57|66,,0.017,0.0,635.3,44.8
GRASP,rand_80p_25c_s5,1,88.7756,63.3,636.8,44.0,4.7,75.0,1.7,1056.0,2,57|66,,0.1,0.0,635.3,44.8
Greedy,rand_80p_25c_s5,0,inf,113.4,853.6,73.3,15.7,123.0,8.4,1453.0,3,54|57|66,,0.0012,0.0,635.3,44.8
MILP,rand_120p_35c_s1,1,49.6147,76.7,785.1,61.0,22.9,70.7,5.3,686.0,3,36|52|70,7,0.021,0.0,635.3,44.8
GRASP,rand_120p_35c_s1,1,49.6147,76.7,785.1,61.0,22.9,70.7,5.3,686.0,3,36|52|70,7,0.3092,0.0,635.3,44.8
Greedy,rand_120p_35c_s1,0,inf,112.5,389.4,91.6,34.8,46.6,6.6,1070.0,4,3|22|45|52,,0.0027,0.0,635.3,44.8
MILP,rand_120p_35c_s2,1,76.53,89.0,742.3,48.7,19.1,93.4,8.1,1039.0,3,20|41|60,,0.075,0.0,635.3,44.8
GRASP,rand_120p_35c_s2,1,95.6147,117.0,655.3,50.4,22.8,70.3,17.5,660.0,2,55|105,,0.6432,0.0,635.3,44.8
Greedy,rand_120p_35c_s2,0,inf,108.4,909.6,75.3,39.3,115.3,21.4,3598.0,4,41|82|109|113,,0.0066,0.0,635.3,44.8
MILP,rand_120p_35c_s3,1,55.0956,76.3,938.3,45.3,18.1,96.8,12.9,956.0,3,29|42|106,,0.109,0.0,635.3,44.8
GRASP,rand_120p_35c_s3,1,55.0956,76.3,938.3,45.3,18.1,96.8,12.9,956.0,3,29|42|106,,0.6496,0.0,635.3,44.8
Greedy,rand_120p_35c_s3,0,inf,107.1,940.2,67.4,41.6,94.4,16.9,2814.0,4,19|77|106|117,,0.0055,0.0,635.3,44.8
MILP,rand_120p_35c_s4,1,50.8474,67.5,744.4,45.5,24.4,108.2,20.4,578.0,3,20|30|119,,0.104,0.0,635.3,44.8
GRASP,rand_120p_35c_s4,1,50.8474,67.5,744.4,45.5,24.4,108.2,20.4,578.0,3,20|30|119,,0.7525,0.0,635.3,44.8
