scenario,budget,goal,size,seed,milp_feasible,grasp_feasible,gap_pct,milp_runtime,grasp_runtime
tight_highpro,90,bulk,80p_25c,1,1,1,0.0,0.058,0.2945
tight_highpro,90,bulk,80p_25c,2,1,1,0.0,0.027,0.3245
tight_highpro,90,bulk,80p_25c,3,1,1,0.0,0.054,0.3374
tight_highpro,90,bulk,80p_25c,4,1,0,,0.063,
tight_highpro,90,bulk,120p_35c,1,1,1,0.0,0.082,0.6728
tight_highpro,90,bulk,120p_35c,2,1,1,0.0,0.044,0.6157
tight_highpro,90,bulk,120p_35c,3,1,1,0.0,0.052,0.5688
tight_highpro,90,bulk,120p_35c,4,1,1,26.5,0.049,0.797
tight_highpro,90,bulk,200p_60c,1,1,1,0.0,0.166,1.5819
tight_highpro,90,bulk,200p_60c,2,1,1,54.33,0.198,1.649
tight_highpro,90,bulk,200p_60c,3,1,1,-0.0,0.063,1.8772
tight_highpro,90,bulk,200p_60c,4,1,1,0.0,0.094,3.3786
tight_loosepro,90,maintain,80p_25c,1,1,1,0.0,0.033,0.4391
tight_loosepro,90,maintain,80p_25c,2,1,1,0.0,0.061,0.3033
tight_loosepro,90,maintain,80p_25c,3,1,1,0.0,0.054,0.3583
tight_loosepro,90,maintain,80p_25c,4,1,0,,0.04,
tight_loosepro,90,maintain,120p_35c,1,1,1,0.0,0.049,0.8747
tight_loosepro,90,maintain,120p_35c,2,1,1,0.0,0.052,0.6475
tight_loosepro,90,maintain,120p_35c,3,1,1,-0.0,0.043,0.6319
tight_loosepro,90,maintain,120p_35c,4,1,1,0.0,0.046,1.012
tight_loosepro,90,maintain,200p_60c,1,1,1,0.0,0.138,2.61
tight_loosepro,90,maintain,200p_60c,2,1,1,12.29,0.168,1.8467
tight_loosepro,90,maintain,200p_60c,3,1,1,0.0,0.045,1.7372
tight_loosepro,90,maintain,200p_60c,4,1,1,1.09,0.076,3.2257
loose_highpro,220,bulk,80p_25c,1,1,1,0.0,0.081,1.4271
loose_highpro,220,bulk,80p_25c,2,1,1,16.6,0.043,1.1038
loose_highpro,220,bulk,80p_25c,3,1,1,10.83,0.167,0.879
loose_highpro,220,bulk,80p_25c,4,1,1,-0.0,0.078,1.0593
loose_highpro,220,bulk,120p_35c,1,1,1,0.0,0.049,2.1811
loose_highpro,220,bulk,120p_35c,2,1,1,2.49,0.146,1.172
loose_highpro,220,bulk,120p_35c,3,1,1,1.13,0.157,1.7651
loose_highpro,220,bulk,120p_35c,4,1,1,9.41,0.073,1.6907
loose_highpro,220,bulk,200p_60c,1,1,1,0.0,0.081,6.7428
loose_highpro,220,bulk,200p_60c,2,1,1,8.99,0.188,4.2008
loose_highpro,220,bulk,200p_60c,3,1,1,-0.0,0.075,7.3544
loose_highpro,220,bulk,200p_60c,4,1,1,0.0,0.143,4.5733
loose_loosepro,220,maintain,80p_25c,1,1,1,0.0,0.041,1.5368
loose_loosepro,220,maintain,80p_25c,2,1,1,0.0,0.061,0.7801
loose_loosepro,220,maintain,80p_25c,3,1,1,0.0,0.146,0.8737
loose_loosepro,220,maintain,80p_25c,4,1,1,16.3,0.088,1.0748
loose_loosepro,220,maintain,120p_35c,1,1,1,0.0,0.067,2.7774
loose_loosepro,220,maintain,120p_35c,2,1,1,0.0,0.105,1.1789
loose_loosepro,220,maintain,120p_35c,3,1,1,0.0,0.074,1.7652
loose_loosepro,220,maintain,120p_35c,4,1,1,0.0,0.073,1.713
loose_loosepro,220,maintain,200p_60c,1,1,1,0.0,0.142,7.9984
loose_loosepro,220,maintain,200p_60c,2,1,1,0.0,0.278,4.8155
loose_loosepro,220,maintain,200p_60c,3,1,1,0.0,0.061,3.44
loose_loosepro,220,maintain,200p_60c,4,1,1,-0.0,0.136,4.7272
