solver,instance,feasible,obj,cost,cal,pro,fat,carb,sug,sod,n,items,combos,runtime,gap,cal_min,pro_min
MILP,U1_male_cut-light,1,35.8,48.0,359.0,24.4,10.1,43.6,3.0,272.0,2,382|463,,0.109,0.0,317.6,22.4
GRASP,U1_male_cut-light,1,35.8,48.0,359.0,24.4,10.1,43.6,3.0,272.0,2,382|463,,7.965,0.0,317.6,22.4
Greedy,U1_male_cut-light,0,inf,118.0,528.9,65.3,26.5,7.3,5.3,1818.0,3,127|160|224,,0.0277,0.0,317.6,22.4
MILP,U1_male_cut-regular,1,87.1975,109.5,693.2,45.6,19.8,84.6,21.3,667.0,4,97|159|475|564,,1.001,0.0,635.3,44.8
GRASP,U1_male_cut-regular,1,119.4793,108.0,642.0,46.1,27.7,52.1,12.7,556.0,2,106|134,,4.0469,0.0,635.3,44.8
Greedy,U1_male_cut-regular,0,inf,118.0,866.3,91.1,48.7,16.8,6.9,2168.0,3,140|160|463,,0.0591,0.0,635.3,44.8
MILP,U1_male_cut-latenight,1,27.9823,28.0,184.5,14.4,8.1,18.0,2.2,162.0,1,459,,0.05,0.0,105.9,11.2
GRASP,U1_male_cut-latenight,1,27.9823,28.0,184.5,14.4,8.1,18.0,2.2,162.0,1,459,,7.0011,0.0,105.9,11.2
Greedy,U1_male_cut-latenight,0,inf,118.0,309.3,36.8,13.8,9.4,9.8,2085.0,3,140|224|430,,0.0297,0.0,105.9,11.2
MILP,U2_male_bulk-light,1,68.088,80.0,586.1,27.4,18.2,81.5,10.4,361.0,3,382|476|552,,0.134,0.0,497.2,27.0
GRASP,U2_male_bulk-light,1,68.088,80.0,586.1,27.4,18.2,81.5,10.4,361.0,3,382|476|552,,11.7602,0.0,497.2,27.0
Greedy,U2_male_bulk-light,0,inf,135.0,818.1,99.5,40.8,13.1,7.6,2683.0,3,126|140|160,,0.0011,0.0,497.2,27.0
MILP,U2_male_bulk-regular,1,163.526,150.0,1057.0,58.9,36.6,123.2,27.8,880.0,4,134|172|382|489,,1.582,0.0,994.3,54.0
GRASP,U2_male_bulk-regular,1,173.5485,149.0,1016.7,54.7,28.3,135.5,34.3,874.0,3,40|134|561,,4.8619,0.0,994.3,54.0
Greedy,U2_male_bulk-regular,0,inf,146.0,1056.5,110.2,58.5,24.7,9.5,2228.0,4,140|160|463|475,,0.063,0.0,994.3,54.0
MILP,U2_male_bulk-latenight,1,40.6,48.0,359.0,24.4,10.1,43.6,3.0,272.0,2,382|463,,0.088,0.0,165.7,13.5
GRASP,U2_male_bulk-latenight,1,40.6,48.0,359.0,24.4,10.1,43.6,3.0,272.0,2,382|463,,6.3233,0.0,165.7,13.5
Greedy,U2_male_bulk-latenight,0,inf,118.0,491.3,49.7,30.1,5.4,3.6,1611.0,3,130|160|224,,0.0275,0.0,165.7,13.5
MILP,U3_male_maintain-light,1,36.21,48.0,359.0,24.4,10.1,43.6,3.0,272.0,2,382|463,,0.147,0.0,293.4,15.4
GRASP,U3_male_maintain-light,1,36.21,48.0,359.0,24.4,10.1,43.6,3.0,272.0,2,382|463,,10.6437,0.0,293.4,15.4
Greedy,U3_male_maintain-light,0,inf,90.0,476.0,49.7,29.4,3.0,1.9,1622.0,2,160|312,,0.0555,0.0,293.4,15.4
MILP,U3_male_maintain-regular,1,74.0433,83.0,601.0,30.9,15.8,84.7,11.7,358.0,3,169|382|463,,0.161,0.0,586.8,30.8
GRASP,U3_male_maintain-regular,1,74.85,93.0,753.0,36.3,25.5,95.2,5.2,716.0,2,40|463,,3.0095,0.0,586.8,30.8
Greedy,U3_male_maintain-regular,0,inf,90.0,669.3,70.5,38.9,9.3,3.9,2112.0,2,140|160,,0.055,0.0,586.8,30.8
MILP,U3_male_maintain-latenight,1,29.545,28.0,184.5,14.4,8.1,18.0,2.2,162.0,1,459,,0.047,0.0,97.8,7.7
GRASP,U3_male_maintain-latenight,1,29.545,28.0,184.5,14.4,8.1,18.0,2.2,162.0,1,459,,6.6822,0.0,97.8,7.7
Greedy,U3_male_maintain-latenight,0,inf,90.0,286.1,34.7,13.3,6.9,2.0,1739.0,2,140|400,,0.0554,0.0,97.8,7.7
MILP,U4_female_cut-light,1,41.1654,48.0,247.0,19.5,9.1,26.3,4.5,476.0,2,323|459,,0.142,0.0,219.5,16.6
GRASP,U4_female_cut-light,1,41.1654,48.0,247.0,19.5,9.1,26.3,4.5,476.0,2,323|459,,12.7476,0.0,219.5,16.6
Greedy,U4_female_cut-light,0,inf,90.0,359.3,45.8,16.7,6.3,2.0,1550.0,2,140|312,,0.0868,0.0,219.5,16.6
MILP,U4_female_cut-regular,1,67.7385,65.0,455.0,34.0,18.5,38.2,2.1,906.0,2,139|382,,0.644,0.0,438.9,33.3
GRASP,U4_female_cut-regular,1,75.05,94.0,505.9,37.9,16.0,52.6,13.2,796.0,2,106|127,,4.6205,0.0,438.9,33.3
Greedy,U4_female_cut-regular,0,inf,93.0,652.5,62.9,36.6,18.8,7.2,1462.0,3,160|323|463,,0.0569,0.0,438.9,33.3
MILP,U4_female_cut-latenight,1,32.9077,28.0,184.5,14.4,8.1,18.0,2.2,162.0,1,459,,0.064,0.0,73.2,8.3
GRASP,U4_female_cut-latenight,1,32.9077,28.0,184.5,14.4,8.1,18.0,2.2,162.0,1,459,,6.0704,0.0,73.2,8.3
Greedy,U4_female_cut-latenight,0,inf,98.0,219.4,22.0,10.0,11.3,4.9,777.0,3,400|423|463,,0.0311,0.0,73.2,8.3
MILP,U5_female_maint-light,1,35.8,48.0,359.0,24.4,10.1,43.6,3.0,272.0,2,382|463,,0.12,0.0,232.2,12.1
GRASP,U5_female_maint-light,1,35.8,48.0,359.0,24.4,10.1,43.6,3.0,272.0,2,382|463,,7.5749,0.0,232.2,12.1
Greedy,U5_female_maint-light,0,inf,90.0,382.3,54.1,14.6,8.6,2.0,1591.0,2,128|140,,0.0156,0.0,232.2,12.1
MILP,U5_female_maint-regular,1,63.2,77.5,545.2,28.6,17.2,72.3,7.8,213.0,3,97|476|564,,0.038,0.0,464.5,24.2
GRASP,U5_female_maint-regular,1,88.8235,85.0,503.0,27.9,20.5,51.9,2.5,951.0,2,21|138,,4.2017,0.0,464.5,24.2
Greedy,U5_female_maint-regular,0,inf,90.0,669.3,70.5,38.9,9.3,3.9,2112.0,2,140|160,,0.0584,0.0,464.5,24.2
MILP,U5_female_maint-latenight,1,29.617,28.0,184.5,14.4,8.1,18.0,2.2,162.0,1,459,,0.034,0.0,77.4,6.1
GRASP,U5_female_maint-latenight,1,29.617,28.0,184.5,14.4,8.1,18.0,2.2,162.0,1,459,,7.1646,0.0,77.4,6.1
Greedy,U5_female_maint-latenight,0,inf,73.0,230.0,24.1,10.5,10.6,10.8,843.0,2,430|463,,0.0582,0.0,77.4,6.1
MILP,U6_female_bulk-light,1,57.55,72.5,546.0,29.9,17.5,68.3,7.0,405.0,3,97|382|463,,0.213,0.0,395.3,20.9
GRASP,U6_female_bulk-light,1,57.55,72.5,546.0,29.9,17.5,68.3,7.0,405.0,3,97|382|463,,13.4729,0.0,395.3,20.9
Greedy,U6_female_bulk-light,0,inf,93.0,652.5,62.9,36.6,18.8,7.2,1462.0,3,160|323|463,,0.0074,0.0,395.3,20.9
MILP,U6_female_bulk-regular,1,106.6,128.0,995.0,42.8,31.2,136.3,13.9,802.0,3,40|169|463,,0.598,0.0,790.7,41.8
GRASP,U6_female_bulk-regular,1,140.6525,124.0,828.0,52.0,28.1,91.5,5.1,868.0,2,40|134,,1.8862,0.0,790.7,41.8
Greedy,U6_female_bulk-regular,0,inf,118.0,866.3,91.1,48.7,16.8,6.9,2168.0,3,140|160|463,,0.0203,0.0,790.7,41.8
MILP,U6_female_bulk-latenight,1,35.7456,28.0,184.5,14.4,8.1,18.0,2.2,162.0,1,459,,0.024,0.0,131.8,10.4
GRASP,U6_female_bulk-latenight,1,35.7456,28.0,184.5,14.4,8.1,18.0,2.2,162.0,1,459,,2.0981,0.0,131.8,10.4
Greedy,U6_female_bulk-latenight,0,inf,101.0,393.0,37.2,25.8,7.0,1.9,1390.0,3,160|224|227,,0.0096,0.0,131.8,10.4
