solver,instance,feasible,obj,cost,cal,pro,fat,carb,sug,sod,n,items,combos,runtime,gap,cal_min,pro_min
MILP,beta=0.0,1,99.2147,84.0,665.4,42.9,21.9,74.1,14.4,492.0,2,457|461,,0.101,0.0,635.3,44.8
MILP,beta=0.5,1,69.0646,55.0,851.4,62.9,38.7,81.5,11.8,907.0,2,63|465,,0.068,0.0,635.3,44.8
MILP,beta=1.0,1,37.6146,55.0,851.4,62.9,38.7,81.5,11.8,907.0,2,63|465,,0.072,0.0,635.3,44.8
MILP,beta=2.0,1,-25.2854,55.0,851.4,62.9,38.7,81.5,11.8,907.0,2,63|465,,0.059,0.0,635.3,44.8
MILP,beta=4.0,1,-204.0057,90.0,909.0,95.4,39.9,42.1,18.1,1089.0,3,63|129|466,,0.066,0.0,635.3,44.8
MILP,beta=8.0,1,-705.5307,213.0,939.4,128.8,27.7,43.7,12.0,2339.0,5,74|129|132|134|136,,0.055,0.0,635.3,44.8
MILP,gamma=0.0,1,69.0646,55.0,851.4,62.9,38.7,81.5,11.8,907.0,2,63|465,,0.066,0.0,635.3,44.8
MILP,gamma=1.0,1,69.0646,55.0,851.4,62.9,38.7,81.5,11.8,907.0,2,63|465,,0.066,0.0,635.3,44.8
MILP,gamma=2.0,1,69.0646,55.0,851.4,62.9,38.7,81.5,11.8,907.0,2,63|465,,0.068,0.0,635.3,44.8
MILP,gamma=5.0,1,69.0646,55.0,851.4,62.9,38.7,81.5,11.8,907.0,2,63|465,,0.064,0.0,635.3,44.8
MILP,gamma=10.0,1,69.0646,55.0,851.4,62.9,38.7,81.5,11.8,907.0,2,63|465,,0.083,0.0,635.3,44.8
MILP,gamma=20.0,1,69.0646,55.0,851.4,62.9,38.7,81.5,11.8,907.0,2,63|465,,0.063,0.0,635.3,44.8
